mortgages_grouped_by,category,postcode_region,date,number_of_sales
Number of first-time buyer sales by Property Value,£0 - £120000,Unknown Region,Q4-2018,35
Number of first-time buyer sales by Property Value,£0 - £120000,Unknown Region,Q4-2019,38
Number of first-time buyer sales by Property Value,£0 - £120000,Unknown Region,Q4-2017,61
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q1-2019,677
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q1-2020,689
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q1-2021,708
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q1-2018,713
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q1-2017,861
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q2-2020,421
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q2-2019,699
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q2-2018,704
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q2-2017,814
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q2-2021,826
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q3-2020,526
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q3-2021,686
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q3-2018,775
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q3-2019,801
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q3-2017,839
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q4-2021,651
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q4-2020,655
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q4-2018,751
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q4-2019,787
Number of first-time buyer sales by Property Value,£120001 - £250000,London,Q4-2017,817
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q1-2017,4108
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q1-2020,4139
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q1-2018,4249
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q1-2019,4478
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q1-2021,4907
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q2-2020,2838
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q2-2017,4801
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q2-2018,5028
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q2-2019,5038
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q2-2021,5831
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q3-2020,4432
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q3-2017,5062
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q3-2019,5236
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q3-2018,5241
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q3-2021,6146
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q4-2021,5045
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q4-2019,5189
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q4-2017,5223
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q4-2020,5362
Number of first-time buyer sales by Property Value,£120001 - £250000,East Midlands,Q4-2018,5420
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q1-2020,2836
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q1-2019,3045
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q1-2018,3221
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q1-2021,3238
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q1-2017,3367
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q2-2020,1897
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q2-2019,3281
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q2-2018,3381
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q2-2021,3556
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q2-2017,3691
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q3-2020,2704
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q3-2021,3549
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q3-2018,3600
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q3-2019,3628
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q3-2017,3810
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q4-2021,2845
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q4-2020,3450
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q4-2019,3634
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q4-2018,3649
Number of first-time buyer sales by Property Value,£120001 - £250000,East of England,Q4-2017,3862
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q1-2017,1256
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q1-2018,1323
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q1-2020,1324
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q1-2019,1382
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q1-2021,1882
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q2-2020,924
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q2-2017,1711
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q2-2019,1776
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q2-2018,1806
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q2-2021,2218
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q3-2017,1612
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q3-2019,1684
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q3-2018,1734
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q3-2020,1751
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q3-2021,2521
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q4-2017,1755
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q4-2019,1820
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q4-2018,1950
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q4-2021,2143
Number of first-time buyer sales by Property Value,£120001 - £250000,North East,Q4-2020,2236
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q1-2017,4667
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q1-2018,4863
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q1-2019,5171
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q1-2020,5224
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q1-2021,6462
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q2-2020,3217
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q2-2017,5587
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q2-2018,6023
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q2-2019,6243
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q2-2021,7347
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q3-2020,5992
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q3-2017,6114
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q3-2018,6176
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q3-2019,6530
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q3-2021,8276
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q4-2017,5994
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q4-2019,6527
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q4-2018,6607
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q4-2021,7036
Number of first-time buyer sales by Property Value,£120001 - £250000,North West,Q4-2020,7077
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q1-2017,830
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q1-2018,882
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q1-2019,1075
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q1-2020,1186
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q1-2021,1597
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q2-2020,522
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q2-2017,1000
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q2-2018,1186
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q2-2019,1385
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q2-2021,1899
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q3-2017,1095
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q3-2018,1243
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q3-2020,1261
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q3-2019,1437
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q3-2021,2212
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q4-2017,1137
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q4-2018,1331
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q4-2019,1376
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q4-2020,1897
Number of first-time buyer sales by Property Value,£120001 - £250000,Northern Ireland,Q4-2021,1940
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q1-2018,3176
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q1-2017,3227
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q1-2019,3307
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q1-2020,3329
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q1-2021,4194
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q2-2020,1900
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q2-2017,4137
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q2-2018,4409
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q2-2019,4555
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q2-2021,5069
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q3-2020,4001
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q3-2017,4053
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q3-2018,4341
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q3-2019,4631
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q3-2021,5262
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q4-2017,3985
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q4-2018,4317
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q4-2019,4439
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q4-2021,4594
Number of first-time buyer sales by Property Value,£120001 - £250000,Scotland,Q4-2020,6577
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q1-2020,2218
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q1-2019,2290
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q1-2021,2450
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q1-2018,2498
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q1-2017,2613
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q2-2020,1399
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q2-2019,2425
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q2-2018,2588
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q2-2021,2774
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q2-2017,2779
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q3-2020,1980
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q3-2019,2638
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q3-2021,2714
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q3-2018,2832
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q3-2017,3097
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q4-2021,2312
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q4-2020,2495
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q4-2019,2756
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q4-2018,2807
Number of first-time buyer sales by Property Value,£120001 - £250000,South East,Q4-2017,2968
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q1-2020,5095
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q1-2019,5333
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q1-2018,5344
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q1-2017,5453
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q1-2021,5556
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q2-2020,3341
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q2-2019,5901
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q2-2021,6171
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q2-2018,6411
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q2-2017,6526
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q3-2020,4601
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q3-2019,6261
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q3-2021,6326
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q3-2018,6665
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q3-2017,6748
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q4-2021,5408
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q4-2020,5959
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q4-2019,6521
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q4-2018,6807
Number of first-time buyer sales by Property Value,£120001 - £250000,South West,Q4-2017,6931
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q1-2017,1500
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q1-2019,1616
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q1-2018,1699
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q1-2020,1751
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q1-2021,2249
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q2-2020,1035
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q2-2018,1924
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q2-2017,1960
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q2-2019,2006
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q2-2021,2766
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q3-2020,1527
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q3-2017,2025
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q3-2018,2145
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q3-2019,2364
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q3-2021,2600
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q4-2017,2214
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q4-2019,2332
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q4-2018,2395
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q4-2020,2602
Number of first-time buyer sales by Property Value,£120001 - £250000,Wales,Q4-2021,2695
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q1-2017,4290
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q1-2020,4327
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q1-2018,4496
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q1-2019,4567
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q1-2021,5404
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q2-2020,2865
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q2-2017,5051
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q2-2018,5150
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q2-2019,5328
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q2-2021,5925
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q3-2020,4437
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q3-2017,5349
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q3-2018,5531
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q3-2019,5627
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q3-2021,6605
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q4-2021,5307
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q4-2017,5417
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q4-2020,5608
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q4-2019,5670
Number of first-time buyer sales by Property Value,£120001 - £250000,West Midlands,Q4-2018,5890
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q1-2017,3218
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q1-2018,3422
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q1-2020,3677
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q1-2019,3852
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q1-2021,4840
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q2-2020,2461
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q2-2017,4070
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q2-2018,4304
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q2-2019,4566
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q2-2021,5797
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q3-2017,4190
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q3-2020,4290
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q3-2018,4509
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q3-2019,4707
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q3-2021,6471
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q4-2017,4204
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q4-2018,4774
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q4-2019,4777
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q4-2021,5405
Number of first-time buyer sales by Property Value,£120001 - £250000,Yorkshire and The Humber,Q4-2020,5415
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q1-2021,141
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q1-2020,206
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q1-2019,209
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q1-2018,236
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q1-2017,241
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q2-2020,105
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q2-2021,130
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q2-2018,240
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q2-2017,268
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q2-2019,270
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q3-2021,134
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q3-2020,147
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q3-2018,216
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q3-2019,223
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q3-2017,254
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q4-2021,112
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q4-2020,191
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q4-2018,251
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q4-2019,260
Number of first-time buyer sales by Property Value,£120001 - £250000,Unknown Region,Q4-2017,300
Number of first-time buyer sales by Property Value,£250001 +,London,Q1-2019,8381
Number of first-time buyer sales by Property Value,£250001 +,London,Q1-2018,8444
Number of first-time buyer sales by Property Value,£250001 +,London,Q1-2017,8544
Number of first-time buyer sales by Property Value,£250001 +,London,Q1-2020,9198
Number of first-time buyer sales by Property Value,£250001 +,London,Q1-2021,14802
Number of first-time buyer sales by Property Value,£250001 +,London,Q2-2020,5328
Number of first-time buyer sales by Property Value,£250001 +,London,Q2-2019,8962
Number of first-time buyer sales by Property Value,£250001 +,London,Q2-2018,9086
Number of first-time buyer sales by Property Value,£250001 +,London,Q2-2017,9212
Number of first-time buyer sales by Property Value,£250001 +,London,Q2-2021,18334
Number of first-time buyer sales by Property Value,£250001 +,London,Q3-2020,9552
Number of first-time buyer sales by Property Value,£250001 +,London,Q3-2021,9563
Number of first-time buyer sales by Property Value,£250001 +,London,Q3-2017,9904
Number of first-time buyer sales by Property Value,£250001 +,London,Q3-2018,10555
Number of first-time buyer sales by Property Value,£250001 +,London,Q3-2019,10999
Number of first-time buyer sales by Property Value,£250001 +,London,Q4-2017,8863
Number of first-time buyer sales by Property Value,£250001 +,London,Q4-2021,9175
Number of first-time buyer sales by Property Value,£250001 +,London,Q4-2018,9710
Number of first-time buyer sales by Property Value,£250001 +,London,Q4-2019,9725
Number of first-time buyer sales by Property Value,£250001 +,London,Q4-2020,12420
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q1-2017,494
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q1-2018,635
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q1-2019,725
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q1-2020,822
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q1-2021,1685
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q2-2020,544
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q2-2017,697
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q2-2018,922
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q2-2019,1009
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q2-2021,1789
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q3-2017,704
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q3-2018,931
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q3-2019,1008
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q3-2020,1194
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q3-2021,1667
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q4-2017,826
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q4-2018,1101
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q4-2019,1135
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q4-2021,1698
Number of first-time buyer sales by Property Value,£250001 +,East Midlands,Q4-2020,1763
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q1-2017,2992
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q1-2019,3338
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q1-2018,3344
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q1-2020,3701
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q1-2021,6352
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q2-2020,2322
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q2-2017,3657
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q2-2018,4098
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q2-2019,4215
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q2-2021,7509
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q3-2017,3944
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q3-2020,4336
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q3-2018,4397
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q3-2019,4664
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q3-2021,5377
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q4-2017,3819
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q4-2018,4383
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q4-2019,4624
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q4-2021,5429
Number of first-time buyer sales by Property Value,£250001 +,East of England,Q4-2020,6208
Number of first-time buyer sales by Property Value,£250001 +,North East,Q1-2018,99
Number of first-time buyer sales by Property Value,£250001 +,North East,Q1-2017,141
Number of first-time buyer sales by Property Value,£250001 +,North East,Q1-2020,149
Number of first-time buyer sales by Property Value,£250001 +,North East,Q1-2019,151
Number of first-time buyer sales by Property Value,£250001 +,North East,Q1-2021,365
Number of first-time buyer sales by Property Value,£250001 +,North East,Q2-2020,127
Number of first-time buyer sales by Property Value,£250001 +,North East,Q2-2017,152
Number of first-time buyer sales by Property Value,£250001 +,North East,Q2-2018,180
Number of first-time buyer sales by Property Value,£250001 +,North East,Q2-2019,193
Number of first-time buyer sales by Property Value,£250001 +,North East,Q2-2021,330
Number of first-time buyer sales by Property Value,£250001 +,North East,Q3-2017,154
Number of first-time buyer sales by Property Value,£250001 +,North East,Q3-2018,176
Number of first-time buyer sales by Property Value,£250001 +,North East,Q3-2019,189
Number of first-time buyer sales by Property Value,£250001 +,North East,Q3-2020,243
Number of first-time buyer sales by Property Value,£250001 +,North East,Q3-2021,294
Number of first-time buyer sales by Property Value,£250001 +,North East,Q4-2017,165
Number of first-time buyer sales by Property Value,£250001 +,North East,Q4-2018,182
Number of first-time buyer sales by Property Value,£250001 +,North East,Q4-2019,245
Number of first-time buyer sales by Property Value,£250001 +,North East,Q4-2021,287
Number of first-time buyer sales by Property Value,£250001 +,North East,Q4-2020,364
Number of first-time buyer sales by Property Value,£250001 +,North West,Q1-2017,580
Number of first-time buyer sales by Property Value,£250001 +,North West,Q1-2018,752
Number of first-time buyer sales by Property Value,£250001 +,North West,Q1-2019,815
Number of first-time buyer sales by Property Value,£250001 +,North West,Q1-2020,887
Number of first-time buyer sales by Property Value,£250001 +,North West,Q1-2021,1792
Number of first-time buyer sales by Property Value,£250001 +,North West,Q2-2020,559
Number of first-time buyer sales by Property Value,£250001 +,North West,Q2-2017,707
Number of first-time buyer sales by Property Value,£250001 +,North West,Q2-2018,879
