category,account_open_date,number_of_sales
>50% - <=75%,2021-03,42590
>85% - <=90%,2021-03,15679
>30% - <=50%,2021-03,18556
0% - <=30%,2021-03,13680
>95%,2021-03,193
>90% - <=95%,2021-03,3245
LTV Bands - Unspecified,2021-04,8
>50% - <=75%,2021-04,29661
>30% - <=50%,2021-04,14240
0% - <=30%,2021-04,10539
>75% - <=85%,2021-04,24319
>85% - <=90%,2021-04,11461
>95%,2021-04,102
>90% - <=95%,2021-04,2624
0% - <=30%,2021-05,9171
>30% - <=50%,2021-05,12140
LTV Bands - Unspecified,2021-05,11
>90% - <=95%,2021-05,2956
>50% - <=75%,2021-05,26528
>95%,2021-05,179
>75% - <=85%,2021-05,21894
>85% - <=90%,2021-05,10988
>50% - <=75%,2021-06,50457
>30% - <=50%,2021-06,21121
>75% - <=85%,2021-06,40750
>90% - <=95%,2021-06,7942
0% - <=30%,2021-06,14493
>85% - <=90%,2021-06,21794
LTV Bands - Unspecified,2021-06,16
>95%,2021-06,437
>90% - <=95%,2021-07,4898
>85% - <=90%,2021-07,10737
0% - <=30%,2021-07,8957
LTV Bands - Unspecified,2021-07,2
>75% - <=85%,2021-07,18386
>95%,2021-07,300
>50% - <=75%,2021-07,24856
>30% - <=50%,2021-07,11665
>90% - <=95%,2021-08,6534
>75% - <=85%,2021-08,20626
>95%,2021-08,327
0% - <=30%,2021-08,9765
>50% - <=75%,2021-08,26992
>85% - <=90%,2021-08,12729
>30% - <=50%,2021-08,12734
LTV Bands - Unspecified,2021-08,4
>90% - <=95%,2021-09,9874
0% - <=30%,2021-09,12602
LTV Bands - Unspecified,2021-09,7
>75% - <=85%,2021-09,29441
>50% - <=75%,2021-09,39885
>95%,2021-09,468
>85% - <=90%,2021-09,18393
>30% - <=50%,2021-09,17981
>30% - <=50%,2021-10,12985
LTV Bands - Unspecified,2021-10,4
>75% - <=85%,2021-10,17148
>90% - <=95%,2021-10,6132
>85% - <=90%,2021-10,10335
0% - <=30%,2021-10,9587
>50% - <=75%,2021-10,27319
>95%,2021-10,270
>90% - <=95%,2021-11,6799
>30% - <=50%,2021-11,15588
>95%,2021-11,338
>85% - <=90%,2021-11,11806
>50% - <=75%,2021-11,32306
>75% - <=85%,2021-11,19830
0% - <=30%,2021-11,11618
LTV Bands - Unspecified,2021-11,3
>75% - <=85%,2021-12,19320
>90% - <=95%,2021-12,6979
>85% - <=90%,2021-12,12074
>50% - <=75%,2021-12,29301
>30% - <=50%,2021-12,14038
0% - <=30%,2021-12,10367
>95%,2021-12,345
LTV Bands - Unspecified,2021-12,3
